"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","LeftLable","RightLable","condition","screen_id"
"","","","","","html-keyboard-response","411","924133","0.0-14.0-0.2-1.2-0.4-1.29","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","412","925536","0.0-14.0-0.2-1.2-0.4-0.30","391","","j","","","","","","","","","","","","","key","j","16.67590361445755","768","428","j","true","img/S_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","413","925848","0.0-14.0-0.2-1.2-0.4-1.30","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","414","927183","0.0-14.0-0.2-1.2-0.4-0.31","334","","f","","","","","","","","","","","","","key","f","16.674683544304386","768","428","f","true","img/H_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","415","927496","0.0-14.0-0.2-1.2-0.4-1.31","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","416","928823","0.0-14.0-0.2-1.2-0.4-0.32","324","","j","","","","","","","","","","","","","key","j","16.661538461539656","768","428","j","true","img/C_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","417","929135","0.0-14.0-0.2-1.2-0.4-1.32","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","418","930562","0.0-14.0-0.2-1.2-0.4-0.33","412","","j","","","","","","","","","","","","","key","j","16.672619047619047","768","428","j","true","img/S_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","419","930870","0.0-14.0-0.2-1.2-0.4-1.33","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","420","932327","0.0-14.0-0.2-1.2-0.4-0.34","448","","f","","","","","","","","","","","","","key","f","16.673255813952405","768","428","f","true","img/H_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","421","932639","0.0-14.0-0.2-1.2-0.4-1.34","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","422","933922","0.0-14.0-0.2-1.2-0.4-0.35","280","","j","","","","","","","","","","","","","key","j","16.675000000000612","768","428","j","true","img/S_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","423","934236","0.0-14.0-0.2-1.2-0.4-1.35","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","424","935609","0.0-14.0-0.2-1.2-0.4-0.36","364","","j","","","","","","","","","","","","","key","j","16.67283950617284","768","428","j","true","img/C_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","425","935914","0.0-14.0-0.2-1.2-0.4-1.36","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","psychophysics","426","937381","0.0-14.0-0.2-1.2-0.4-0.37","462","","f","","","","","","","","","","","","","key","f","16.6709302325576","768","428","f","true","img/H_28.png","自我","非自我","self",""
"","","","","","html-keyboard-response","427","937688","0.0-14.0-0.2-1.2-0.4-1.37","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","","feedback_test"
"","","","","","html-keyboard-response","428","940349","0.0-14.0-0.2-1.2-1.4","2660","<style>.context{color:white; font-size: 35px; line-height:40px}</style>                          <div><p class='context'>您正确回答了100% 的试次。</p><p class='context'>您的平均反应时为380毫秒。</p><p class='context'>请按任意键进入休息</p></div>"," ","","","","","","","","","","","","","","","","","","","","","","","",""
