"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","psychophysics","693","1712506","0.0-20.0-1.0-1.0-0.2-0.164","763","","f","","","","","","","","","","","","","key","f","16.651771428571305","768","428","f","true","img/H_28.png","朋友","friend","","生人"
"","","","","","html-keyboard-response","694","1712813","0.0-20.0-1.0-1.0-0.2-1.164","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","695","1714815","0.0-20.0-1.0-1.0-0.2-0.165","989","","j","","","","","","","","","","","","","key","j","16.651361344536735","768","428","k","false","img/S_28.png","朋友","friend","","朋友"
"","","","","","html-keyboard-response","696","1715123","0.0-20.0-1.0-1.0-0.2-1.165","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","697","1717277","0.0-20.0-1.0-1.0-0.2-0.166","1138","","f","","","","","","","","","","","","","key","f","16.643757812498734","768","428","f","true","img/C_28.png","生人","friend","","自我"
"","","","","","html-keyboard-response","698","1717593","0.0-20.0-1.0-1.0-0.2-1.166","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","699","1719952","0.0-20.0-1.0-1.0-0.2-0.167","1354","","j","","","","","","","","","","","","","key","j","16.651035714285847","768","428","j","true","img/S_28.png","生人","friend","","朋友"
"","","","","","html-keyboard-response","700","1720261","0.0-20.0-1.0-1.0-0.2-1.167","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","701","1722072","0.0-20.0-1.0-1.0-0.2-0.168","802","","j","","","","","","","","","","","","","key","j","16.652546296295004","768","428","j","true","img/S_28.png","生人","friend","","朋友"
"","","","","","html-keyboard-response","702","1722377","0.0-20.0-1.0-1.0-0.2-1.168","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","703","1724420","0.0-20.0-1.0-1.0-0.2-0.169","1036","","j","","","","","","","","","","","","","key","j","16.651188524590697","768","428","j","true","img/S_28.png","自我","friend","","朋友"
"","","","","","html-keyboard-response","704","1724732","0.0-20.0-1.0-1.0-0.2-1.169","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","705","1726628","0.0-20.0-1.0-1.0-0.2-0.170","885","","f","","","","","","","","","","","","","key","f","16.650071428571078","768","428","f","true","img/H_28.png","朋友","friend","","生人"
"","","","","","html-keyboard-response","706","1726940","0.0-20.0-1.0-1.0-0.2-1.170","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","707","1728886","0.0-20.0-1.0-1.0-0.2-0.171","940","","f","","","","","","","","","","","","","key","f","16.65146551724194","768","428","f","true","img/C_28.png","朋友","friend","","自我"
"","","","","","html-keyboard-response","708","1729197","0.0-20.0-1.0-1.0-0.2-1.171","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
