"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","rt","stimulus","response","value","item_width_mm","item_height_mm","item_width_px","px2mm","view_dist_mm","item_width_deg","px2deg","scale_factor","win_width_deg","win_height_deg","view_history","response_type","key_press","avg_frame_time","center_x","center_y","correct_response","correct","Image","text","condition","screen_id","label"
"","","","","","psychophysics","340","799902","0.0-16.0-0.0-0.1","670","","j","","","","","","","","","","","","","key","j","16.64858585858548","960","536","j","true","img/S_28.png","生人","prac_friend","","朋友"
"","","","","","html-keyboard-response","341","800203","0.0-16.0-0.0-1.1","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","342","802398","0.0-16.0-0.0-0.2","1193","","d","","","","","","","","","","","","","key","d","16.648307692307906","960","536","f","false","img/C_28.png","生人","prac_friend","","自我"
"","","","","","html-keyboard-response","343","802701","0.0-16.0-0.0-1.2","null","<span style='color:red; font-size: 70px;'>错误! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","344","804554","0.0-16.0-0.0-0.3","851","","f","","","","","","","","","","","","","key","f","16.65043636363698","960","536","f","true","img/C_28.png","朋友","prac_friend","","自我"
"","","","","","html-keyboard-response","345","804856","0.0-16.0-0.0-1.3","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","346","806948","0.0-16.0-0.0-0.4","1089","","d","","","","","","","","","","","","","key","d","16.648952000000513","960","536","d","true","img/C_28.png","自我","prac_friend","","自我"
"","","","","","html-keyboard-response","347","807250","0.0-16.0-0.0-1.4","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
"","","","","","psychophysics","348","809141","0.0-16.0-0.0-0.5","889","","f","","","","","","","","","","","","","key","f","16.647178571429063","960","536","f","true","img/H_28.png","朋友","prac_friend","","生人"
"","","","","","html-keyboard-response","349","809443","0.0-16.0-0.0-1.5","null","<span style='color:GreenYellow; font-size: 70px;'>正确! </span>","null","","","","","","","","","","","","","","","","","","","","","","","feedback_test",""
